                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.96113,                 3.5235,                 1.3853,                0.00318,                0.30433,                 0.0188,                0.01429,                0.95123,                 3.6957,                 1.4228,                 0.0847,                 0.0017,                 0.0017
                      1,                0.57177,                 2.5419,                 1.0527,                0.00135,                0.11753,                0.00464,                0.00254,                 1.5162,                 4.0312,                  1.893,               0.068493,              0.0034931,              0.0034931
                      2,                0.65361,                 1.7948,                 1.0441,                0.00275,                0.24583,                0.05033,                0.03974,                 1.3587,                 3.8403,                 1.6381,               0.052279,               0.005279,               0.005279
                      3,                0.62818,                 1.3932,                 1.0202,                0.00102,                0.09367,                0.00502,                0.00255,                 1.3602,                 4.0218,                 1.8016,               0.036058,              0.0070578,              0.0070578
                      4,                0.67833,                  1.208,                 1.0338,                0.77565,                0.03141,                0.00599,                0.00269,                 1.7868,                 4.0983,                  2.145,                0.01983,              0.0088295,              0.0088295
                      5,                0.71083,                 1.2522,                 1.0692,                0.00014,                0.01136,                0.00012,                  1e-05,                 2.4558,                 4.6927,                  2.725,               0.009901,               0.009901,               0.009901
                      6,                0.69967,                 1.1046,                 1.0713,                0.00013,                0.01136,                0.00076,                0.00023,                 4.4702,                 4.3815,                 4.0943,               0.009901,               0.009901,               0.009901
                      7,                0.69037,                 1.0441,                 1.0587,                0.50509,                 0.0119,                0.00039,                0.00011,                  2.822,                 4.8784,                 3.0096,              0.0098812,              0.0098812,              0.0098812
                      8,                0.66838,                 1.0352,                 1.0401,                0.00017,                0.01136,                0.00011,                  3e-05,                 2.8356,                  4.228,                 3.0926,              0.0098614,              0.0098614,              0.0098614
                      9,                 0.6514,                0.93311,                 1.0158,                0.27299,                 0.0579,                0.03929,                0.01858,                 2.2845,                 4.1671,                 2.3705,              0.0098416,              0.0098416,              0.0098416
                     10,                0.67363,                 0.8991,                 1.0558,                0.00013,                0.01136,                  9e-05,                  1e-05,                 2.9487,                 4.2593,                 2.9185,              0.0098218,              0.0098218,              0.0098218
                     11,                0.65456,                0.88783,                 1.0209,                 0.5306,                0.02327,                0.01583,                 0.0052,                 1.9357,                 4.3215,                  2.364,               0.009802,               0.009802,               0.009802
                     12,                0.61647,                0.82836,                 1.0297,                0.72957,                0.01136,                0.01322,                0.00286,                 3.2136,                  4.576,                 3.1952,              0.0097822,              0.0097822,              0.0097822
                     13,                0.62003,                0.77277,                 1.0245,                0.72957,                0.01136,                0.01322,                0.00286,                  3.697,                 5.5812,                 3.7375,              0.0097624,              0.0097624,              0.0097624
                     14,                0.60229,                0.75499,                 1.0193,                0.00046,                0.01136,                0.00035,                  3e-05,                 3.6813,                 5.1395,                 3.5346,              0.0097426,              0.0097426,              0.0097426
                     15,                0.65701,                0.75583,                  1.017,                0.00046,                0.01136,                0.00035,                  3e-05,                 3.7497,                 4.9875,                 3.7738,              0.0097228,              0.0097228,              0.0097228
                     16,                0.60927,                0.72958,                 1.0122,                0.00046,                0.01136,                0.00035,                  3e-05,                 4.0319,                 5.0046,                 4.0968,               0.009703,               0.009703,               0.009703
                     17,                0.59826,                0.70295,                0.99891,                0.00046,                0.01136,                0.00035,                  3e-05,                   2.95,                 4.8211,                 3.0625,              0.0096832,              0.0096832,              0.0096832
                     18,                0.60859,                0.68048,                 1.0123,                0.00031,                0.01136,                0.00021,                  2e-05,                 3.7428,                 4.7637,                 3.6131,              0.0096634,              0.0096634,              0.0096634
                     19,                0.58966,                0.68195,                 1.0009,                0.00094,                0.01136,                0.00085,                  9e-05,                 3.3233,                 4.7744,                 3.2427,              0.0096436,              0.0096436,              0.0096436
                     20,                0.60072,                0.69788,                0.98665,                0.77401,                0.05312,                0.06377,                0.01908,                 2.1441,                 4.4848,                 2.7194,              0.0096238,              0.0096238,              0.0096238
                     21,                0.59519,                0.62627,                 1.0048,                0.29731,                0.02273,                0.02404,                0.00507,                 3.2649,                 4.5288,                 3.1915,               0.009604,               0.009604,               0.009604
                     22,                0.58163,                0.63114,                 1.0007,                0.24691,                0.06643,                0.05748,                0.01927,                 2.0009,                 4.5749,                 2.2144,              0.0095842,              0.0095842,              0.0095842
                     23,                0.59903,                0.59895,                 1.0003,                0.00539,                0.11585,                0.01441,                0.00505,                  2.588,                 4.7297,                 2.5891,              0.0095644,              0.0095644,              0.0095644
                     24,                0.55371,                0.57399,                0.99628,                0.52254,                 0.0125,                0.00286,                0.00142,                 2.6387,                 4.8248,                 2.6978,              0.0095446,              0.0095446,              0.0095446
                     25,                0.54215,                0.55773,                 0.9894,                0.52254,                 0.0125,                0.00286,                0.00142,                 3.0148,                 5.2698,                 2.8755,              0.0095248,              0.0095248,              0.0095248
                     26,                0.54869,                0.55237,                0.98639,                0.52254,                 0.0125,                0.00286,                0.00142,                 3.3047,                 5.3796,                 3.0596,               0.009505,               0.009505,               0.009505
                     27,                0.55553,                0.53668,                0.97012,                0.00149,                0.01136,                0.00196,                0.00039,                 3.1959,                  5.051,                   3.08,              0.0094852,              0.0094852,              0.0094852
                     28,                0.54092,                0.51893,                0.97388,                0.00149,                0.01136,                0.00196,                0.00039,                 4.5295,                  4.711,                 4.1424,              0.0094654,              0.0094654,              0.0094654
                     29,                0.53802,                0.50494,                0.97921,                0.00985,                0.01136,                0.00133,                0.00013,                 3.1571,                 4.7002,                 3.0312,              0.0094456,              0.0094456,              0.0094456
                     30,                0.54922,                0.54715,                0.98599,                 0.0276,                0.02386,                0.00509,                0.00234,                 3.1386,                 4.6821,                 3.0614,              0.0094258,              0.0094258,              0.0094258
                     31,                0.52692,                0.52181,                0.95364,                0.24563,                0.06981,                0.05323,                0.02226,                 2.5436,                 4.2975,                 2.4933,               0.009406,               0.009406,               0.009406
                     32,                0.53783,                0.49947,                0.96534,                0.20104,                0.10444,                0.06448,                0.02472,                 2.3277,                 4.4738,                 2.4931,              0.0093862,              0.0093862,              0.0093862
                     33,                0.53755,                0.50879,                0.98099,                0.01606,                0.15384,                0.03062,                0.00778,                 1.9245,                 4.6102,                  2.301,              0.0093664,              0.0093664,              0.0093664
                     34,                0.51194,                0.48652,                0.96273,                0.00307,                0.04654,                0.00238,                0.00102,                 1.6772,                 4.9386,                 2.2193,              0.0093466,              0.0093466,              0.0093466
                     35,                0.53464,                0.47066,                0.96227,                0.50355,                0.12539,                0.13985,                0.07814,                 1.8871,                 3.8086,                 2.1395,              0.0093268,              0.0093268,              0.0093268
                     36,                0.54419,                0.48463,                0.97173,                0.00448,                 0.0119,                0.00311,                0.00083,                 2.8223,                 4.9551,                 2.9393,               0.009307,               0.009307,               0.009307
                     37,                0.51854,                 0.4762,                0.97042,                0.00985,                0.12992,                0.00729,                0.00305,                 2.6558,                  4.717,                 2.6299,              0.0092872,              0.0092872,              0.0092872
                     38,                0.49183,                0.57867,                0.97973,                0.57058,                0.01136,                0.01174,                0.00248,                 2.9322,                 5.0757,                 2.8319,              0.0092674,              0.0092674,              0.0092674
                     39,                0.48763,                0.48386,                0.96116,                0.57058,                0.01136,                0.01174,                0.00248,                 4.1934,                 5.2972,                 3.9697,              0.0092476,              0.0092476,              0.0092476
                     40,                0.50905,                0.52314,                0.96697,                0.01516,                0.02386,                0.00632,                0.00208,                 1.9656,                 4.8535,                 2.3952,              0.0092278,              0.0092278,              0.0092278
                     41,                0.51257,                0.47402,                0.97163,                0.01516,                0.02386,                0.00632,                0.00208,                 2.5451,                 5.1029,                 2.6428,               0.009208,               0.009208,               0.009208
                     42,                0.54544,                0.46594,                0.97559,                0.02667,                0.03409,                 0.0183,                0.00183,                  2.918,                  5.114,                 2.8021,              0.0091882,              0.0091882,              0.0091882
                     43,                 0.4999,                0.44961,                0.95465,                0.00397,                0.03577,                 0.0023,                0.00107,                 2.5507,                  5.143,                 2.6281,              0.0091684,              0.0091684,              0.0091684
                     44,                0.49612,                0.46952,                0.95499,                 0.3236,                0.01136,                0.01058,                0.00111,                  2.565,                 5.2288,                 2.6693,              0.0091486,              0.0091486,              0.0091486
                     45,                0.51772,                0.45454,                0.97014,                 0.3236,                0.01136,                0.01058,                0.00111,                 3.5509,                 5.3259,                  3.395,              0.0091288,              0.0091288,              0.0091288
                     46,                 0.5028,                0.45016,                 0.9565,                 0.3236,                0.01136,                0.01058,                0.00111,                  3.004,                 5.1501,                 2.9968,               0.009109,               0.009109,               0.009109
                     47,                0.51274,                0.45113,                0.95243,                0.00472,                 0.0119,                 0.0025,                0.00025,                 2.3579,                 5.2796,                 2.5877,              0.0090892,              0.0090892,              0.0090892
                     48,                0.48581,                0.42626,                0.95612,                0.25568,                 0.0125,                0.00201,                0.00025,                  2.705,                 5.2732,                  2.756,              0.0090694,              0.0090694,              0.0090694
                     49,                0.49581,                0.43804,                 0.9574,                0.01354,                0.10335,                0.01508,                0.00531,                 2.5715,                  4.864,                    2.6,              0.0090496,              0.0090496,              0.0090496
                     50,                 0.4675,                0.40462,                 0.9523,                0.02062,                0.07955,                0.02503,                0.00421,                 2.7067,                 5.0962,                  2.736,              0.0090298,              0.0090298,              0.0090298
                     51,                0.52081,                0.48051,                 0.9661,                0.48919,                  0.125,                 0.1066,                0.04613,                 2.3222,                 4.3432,                  2.284,                0.00901,                0.00901,                0.00901
                     52,                0.49031,                0.40018,                0.97139,                0.38212,                0.06818,                0.05723,                0.01531,                 2.5392,                  4.631,                 2.4371,              0.0089902,              0.0089902,              0.0089902
                     53,                0.47535,                0.42162,                 0.9495,                0.09971,                0.04545,                0.02721,                0.00603,                 2.5311,                 4.7587,                 2.5317,              0.0089704,              0.0089704,              0.0089704
                     54,                0.50681,                0.40251,                0.95209,                0.51421,                 0.0119,                0.00356,                0.00089,                 2.5339,                 5.1765,                 2.5164,              0.0089506,              0.0089506,              0.0089506
                     55,                0.50272,                 0.4092,                0.95386,                0.51421,                 0.0119,                0.00356,                0.00089,                 2.6406,                  5.102,                  2.707,              0.0089308,              0.0089308,              0.0089308
                     56,                0.47695,                0.38649,                0.96557,                0.05486,                0.08625,                0.02363,                0.00892,                 2.3996,                 4.4558,                 2.3627,               0.008911,               0.008911,               0.008911
                     57,                0.49334,                0.40754,                0.94997,                0.30582,                0.01136,                0.00972,                0.00505,                 2.8565,                 4.7497,                 2.7323,              0.0088912,              0.0088912,              0.0088912
                     58,                0.48263,                0.39225,                0.95031,                0.30582,                0.01136,                0.00972,                0.00505,                 4.4095,                  5.442,                 4.2538,              0.0088714,              0.0088714,              0.0088714
                     59,                0.47296,                0.37735,                0.95765,                0.30582,                0.01136,                0.00972,                0.00505,                 4.4477,                 5.5072,                 4.1371,              0.0088516,              0.0088516,              0.0088516
                     60,                0.47939,                0.40146,                 0.9515,                0.30582,                0.01136,                0.00972,                0.00505,                 3.9895,                 5.5886,                 3.5388,              0.0088318,              0.0088318,              0.0088318
                     61,                0.47898,                0.44671,                0.95283,                0.41522,                  0.046,                0.06413,                0.02552,                 2.9878,                 5.1359,                 2.8731,               0.008812,               0.008812,               0.008812
                     62,                0.45884,                0.39608,                0.94953,                0.56617,                0.05702,                 0.0751,                0.03296,                 2.4297,                 5.0061,                 2.5132,              0.0087922,              0.0087922,              0.0087922
                     63,                0.48134,                0.39534,                 0.9556,                0.17239,                  0.046,                0.03666,                0.01668,                 2.1663,                 5.1048,                 2.3206,              0.0087724,              0.0087724,              0.0087724
                     64,                0.47496,                0.38699,                 0.9588,                0.65764,                0.01136,                0.01276,                0.00255,                 3.0234,                 5.5717,                 3.0534,              0.0087526,              0.0087526,              0.0087526
                     65,                0.44917,                0.37239,                0.94871,                0.00223,                0.01136,                0.00143,                0.00014,                 3.0177,                 5.5424,                 3.2495,              0.0087328,              0.0087328,              0.0087328
                     66,                 0.4544,                0.35253,                0.94347,                0.00223,                0.01136,                0.00143,                0.00014,                 3.0441,                 5.6297,                   3.29,               0.008713,               0.008713,               0.008713
                     67,                0.44231,                0.36425,                0.94423,                0.11239,                0.06872,                0.06398,                 0.0256,                 2.6295,                 4.4125,                 2.6238,              0.0086932,              0.0086932,              0.0086932
                     68,                0.48765,                0.39367,                0.94217,                0.10832,                0.05736,                0.05921,                 0.0288,                 2.5799,                 4.4439,                 2.5112,              0.0086734,              0.0086734,              0.0086734
                     69,                0.43155,                 0.3668,                0.94313,                0.00513,                0.03636,                0.00293,                0.00051,                 3.4329,                 5.2343,                 3.4375,              0.0086536,              0.0086536,              0.0086536
                     70,                 0.4816,                0.40036,                0.94236,                0.56434,                0.02273,                0.02903,                0.01174,                 2.5043,                 4.8347,                 2.5331,              0.0086338,              0.0086338,              0.0086338
                     71,                0.44885,                0.35944,                0.93478,                0.14947,                0.03308,                0.04215,                0.01645,                 2.2847,                 4.9603,                 2.4048,               0.008614,               0.008614,               0.008614
                     72,                0.46119,                0.37866,                0.93717,                0.04255,                0.10904,                0.03914,                0.00636,                 2.4229,                 5.1024,                 2.4375,              0.0085942,              0.0085942,              0.0085942
                     73,                0.44478,                0.37568,                0.94627,                0.12176,                0.01107,                 0.0072,                0.00144,                 2.9428,                 5.4904,                 2.9957,              0.0085744,              0.0085744,              0.0085744
                     74,                0.44183,                0.35811,                0.93302,                  0.473,                0.01136,                0.01433,                0.00302,                  3.617,                 5.2255,                 3.4551,              0.0085546,              0.0085546,              0.0085546
                     75,                0.48397,                0.39716,                0.95542,                0.00482,                0.01136,                0.00532,                0.00106,                 3.6877,                 5.5181,                  3.571,              0.0085348,              0.0085348,              0.0085348
                     76,                0.46857,                0.43037,                0.95848,                0.00482,                0.01136,                0.00532,                0.00106,                 4.2453,                 5.7032,                 4.2228,               0.008515,               0.008515,               0.008515
                     77,                0.44808,                0.36874,                0.93829,                0.00482,                0.01136,                0.00532,                0.00106,                 3.5366,                 5.4341,                 3.4911,              0.0084952,              0.0084952,              0.0084952
                     78,                0.46617,                0.38182,                0.94408,                0.01528,                0.01136,                0.00446,                0.00067,                 3.7029,                 5.6023,                 3.6542,              0.0084754,              0.0084754,              0.0084754
                     79,                0.43788,                0.35085,                 0.9397,                0.03432,                0.02273,                0.02239,                0.00776,                  3.282,                  5.315,                 3.1561,              0.0084556,              0.0084556,              0.0084556
                     80,                0.47947,                0.37737,                0.94373,                0.03432,                0.02273,                0.02239,                0.00776,                 4.2958,                 5.7673,                 4.2815,              0.0084358,              0.0084358,              0.0084358
                     81,                0.46239,                0.36687,                0.95732,                0.03432,                0.02273,                0.02239,                0.00776,                 4.3093,                 5.8083,                 4.3431,               0.008416,               0.008416,               0.008416
                     82,                0.47041,                0.42591,                0.95232,                0.00333,                0.01136,                0.00198,                0.00099,                 3.7298,                  5.542,                 3.6553,              0.0083962,              0.0083962,              0.0083962
                     83,                0.43459,                0.35467,                0.93804,                0.00344,                0.02327,                0.00184,                 0.0003,                 3.3617,                 5.6752,                 3.2418,              0.0083764,              0.0083764,              0.0083764
                     84,                0.42892,                0.37333,                0.93537,                0.11381,                0.01136,                0.00662,                0.00066,                 2.6814,                 5.4288,                 2.9378,              0.0083566,              0.0083566,              0.0083566
                     85,                0.42763,                0.35143,                0.91928,                0.00439,                0.01136,                 0.0029,                0.00087,                 4.6286,                 5.7683,                  4.487,              0.0083368,              0.0083368,              0.0083368
                     86,                0.42607,                0.36622,                0.92668,                0.36854,                0.01136,                0.00712,                0.00201,                 2.4316,                 5.5328,                 2.5243,               0.008317,               0.008317,               0.008317
                     87,                0.43965,                 0.3488,                 0.9368,                0.01557,                0.05736,                0.01286,                0.00409,                 2.8169,                 5.1698,                  2.609,              0.0082972,              0.0082972,              0.0082972
                     88,                0.42453,                0.33485,                0.92991,                0.09298,                0.41905,                0.17384,                0.06346,                 2.5093,                 3.9445,                 2.0185,              0.0082774,              0.0082774,              0.0082774
                     89,                0.43908,                0.32769,                0.94295,                0.05676,                 0.1651,                0.05842,                0.02801,                 2.8868,                 4.5817,                  2.395,              0.0082576,              0.0082576,              0.0082576
                     90,                0.42333,                0.33699,                0.93053,                 0.2049,                0.16126,                0.14934,                0.08767,                 2.1638,                 3.9664,                 1.8721,              0.0082378,              0.0082378,              0.0082378
                     91,                0.45267,                 0.3435,                0.96446,                0.71329,                0.01136,                0.01303,                0.00277,                 3.3569,                 5.7099,                 3.1885,               0.008218,               0.008218,               0.008218
                     92,                0.44483,                0.33879,                0.94275,                0.00843,                 0.0125,                0.00345,                 0.0006,                 3.0854,                 5.5682,                 3.0031,              0.0081982,              0.0081982,              0.0081982
                     93,                  0.438,                0.35356,                0.93647,                0.04901,                0.08344,                0.04434,                0.01727,                 2.7029,                 5.0013,                 2.6021,              0.0081784,              0.0081784,              0.0081784
                     94,                0.43027,                0.34781,                0.93161,                0.00348,                0.02386,                0.00194,                0.00035,                 2.6926,                 5.5796,                 2.9496,              0.0081586,              0.0081586,              0.0081586
                     95,                0.42403,                0.32929,                0.93331,                0.01132,                0.01136,                  0.002,                 0.0002,                 2.6505,                  5.415,                 2.8372,              0.0081388,              0.0081388,              0.0081388
                     96,                0.44472,                0.36257,                0.92969,                0.04462,                0.19811,                0.05435,                0.02393,                 2.1122,                 4.9282,                 2.1986,               0.008119,               0.008119,               0.008119
                     97,                0.41947,                0.32465,                0.93414,                0.05368,                0.18793,                0.07829,                0.03547,                 2.0769,                 4.9302,                 2.2459,              0.0080992,              0.0080992,              0.0080992
                     98,                0.41893,                0.32149,                0.91839,                0.42366,                0.11807,                0.11029,                0.05365,                 2.1153,                 4.8656,                 2.1778,              0.0080794,              0.0080794,              0.0080794
                     99,                0.42461,                0.33564,                0.93317,                 0.4294,                0.09262,                0.09384,                0.02815,                 1.9458,                 5.1917,                 2.2896,              0.0080596,              0.0080596,              0.0080596
                    100,                 0.4199,                0.34152,                0.93719,                0.74025,                0.01136,                0.01643,                0.00485,                 2.5483,                 5.7449,                 2.7776,              0.0080398,              0.0080398,              0.0080398
                    101,                0.42866,                0.33682,                0.93133,                0.74025,                0.01136,                0.01643,                0.00485,                 2.8489,                 5.7601,                 3.0031,                0.00802,                0.00802,                0.00802
                    102,                0.39733,                0.30874,                0.93588,                 0.3723,                0.01136,                0.00932,                0.00279,                  2.749,                 5.6639,                 2.8537,              0.0080002,              0.0080002,              0.0080002
                    103,                0.42687,                0.34314,                 0.9277,                0.01711,                0.04713,                 0.0221,                0.01125,                 2.3965,                 5.5732,                 2.4554,              0.0079804,              0.0079804,              0.0079804
                    104,                0.41349,                0.32919,                0.93202,                0.08522,                0.08601,                0.05079,                0.01936,                 2.4451,                 5.1599,                 2.3881,              0.0079606,              0.0079606,              0.0079606
                    105,                0.43472,                0.33334,                0.95242,                0.11804,                 0.0579,                 0.0345,                0.01395,                 2.5693,                 5.2762,                 2.5192,              0.0079408,              0.0079408,              0.0079408
                    106,                0.41259,                0.32456,                0.92929,                0.00711,                0.02327,                0.00419,                0.00108,                 3.0679,                 5.5852,                 2.9435,               0.007921,               0.007921,               0.007921
                    107,                0.40737,                0.31231,                0.92521,                0.00278,                0.01136,                0.00189,                0.00038,                  3.051,                 5.7283,                 2.9792,              0.0079012,              0.0079012,              0.0079012
                    108,                0.42224,                0.32514,                0.93824,                0.00704,                0.02273,                0.00391,                0.00132,                 2.7901,                 5.2981,                 2.8365,              0.0078814,              0.0078814,              0.0078814
                    109,                0.41315,                 0.3289,                0.92057,                0.00073,                 0.0125,                0.00039,                  4e-05,                 2.6867,                  5.578,                 2.9247,              0.0078616,              0.0078616,              0.0078616
                    110,                0.40697,                0.33849,                 0.9307,                0.00073,                 0.0125,                0.00039,                  4e-05,                 3.0006,                 5.6786,                  3.206,              0.0078418,              0.0078418,              0.0078418
                    111,                0.42463,                0.34566,                0.92754,                0.05836,                 0.0125,                0.01097,                0.00327,                 2.8633,                 5.5561,                 2.8891,               0.007822,               0.007822,               0.007822
                    112,                0.41114,                0.32639,                 0.9239,                0.00255,                0.01136,                0.00145,                0.00043,                  2.956,                 5.4848,                 3.0588,              0.0078022,              0.0078022,              0.0078022
                    113,                0.40664,                0.31877,                0.92854,                0.00255,                0.01136,                0.00145,                0.00043,                 3.0329,                 5.6818,                 3.0215,              0.0077824,              0.0077824,              0.0077824
