                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.93923,                 3.3591,                 1.3864,                0.00335,                      1,                0.14128,                0.08549,                0.40581,                 3.4254,                 1.1256,                 0.0919,                 0.0009,                 0.0009
                      1,                0.61108,                 3.0955,                 1.1329,                0.00338,                      1,                0.27201,                0.22739,                0.32135,                 3.3877,                0.98591,               0.082887,              0.0018875,              0.0018875
                      2,                0.56854,                 2.7901,                  1.095,                 0.0036,                      1,                 0.3397,                0.29762,                0.31959,                 3.2217,                0.91969,               0.073862,              0.0028617,              0.0028617
                      3,                0.58072,                  2.413,                 1.1023,                 0.0036,                      1,                0.40892,                0.36666,                0.38558,                 2.9218,                0.95795,               0.064823,              0.0038228,              0.0038228
                      4,                0.61679,                 2.1322,                 1.0898,                0.48276,                0.34724,                0.43798,                0.39839,                0.42988,                 2.6642,                0.96575,               0.055771,              0.0047706,              0.0047706
                      5,                0.59144,                 1.9264,                 1.0913,                0.44197,                0.27344,                0.60252,                0.51406,                0.53025,                 2.5864,                 1.0271,               0.046705,              0.0057053,              0.0057053
                      6,                0.65168,                 1.7874,                 1.1163,                0.65298,                0.43666,                0.59601,                0.53164,                0.40834,                  2.553,                0.96996,               0.037627,              0.0066268,              0.0066268
                      7,                0.62467,                 1.7229,                 1.0873,                0.52711,                0.73513,                 0.6992,                0.61291,                0.47718,                 2.3171,                 1.0173,               0.028535,               0.007535,               0.007535
                      8,                0.64356,                 1.5428,                 1.0689,                0.49976,                0.81591,                0.73079,                0.64966,                0.47372,                 2.0698,                 1.0313,                0.01943,              0.0084301,              0.0084301
                      9,                0.67078,                 1.5148,                 1.1264,                0.70705,                0.86323,                0.87902,                0.66311,                0.69012,                 1.9784,                 1.2537,               0.010312,              0.0093119,              0.0093119
                     10,                0.69318,                 1.3581,                 1.0904,                0.72187,                   0.65,                0.64179,                0.52387,                0.63439,                 2.4887,                 1.1851,                0.00934,                0.00934,                0.00934
                     11,                0.72498,                 1.3323,                 1.1114,                0.90085,                0.77686,                0.92205,                0.76594,                0.52989,                 1.7114,                 1.1165,                0.00934,                0.00934,                0.00934
                     12,                0.67665,                 1.3368,                 1.1227,                0.42606,                   0.55,                0.48587,                0.38197,                0.59497,                 4.6257,                  1.138,               0.009274,               0.009274,               0.009274
                     13,                0.66612,                 1.2987,                 1.1021,                0.52215,                0.71903,                0.59194,                0.46353,                0.61488,                  2.456,                 1.1396,               0.009208,               0.009208,               0.009208
                     14,                0.68221,                 1.2067,                 1.0736,                0.79794,                0.64608,                0.60111,                0.51026,                0.54877,                 2.8311,                 1.0734,               0.009142,               0.009142,               0.009142
                     15,                0.66911,                 1.2421,                 1.0885,                 0.7981,                0.65702,                0.74398,                0.62119,                0.58528,                 1.9591,                 1.1335,               0.009076,               0.009076,               0.009076
                     16,                0.59727,                  1.079,                 1.0465,                0.58979,                 0.3925,                0.51344,                0.32462,                 1.0411,                 3.0713,                 1.6026,                0.00901,                0.00901,                0.00901
                     17,                0.65152,                 1.0667,                 1.0849,                0.73696,                0.81896,                0.80614,                0.60319,                 0.7292,                 2.5437,                 1.3133,               0.008944,               0.008944,               0.008944
                     18,                 0.6693,                 1.1621,                 1.1209,                0.90754,                0.87913,                0.95639,                0.69003,                 0.8309,                 1.4452,                 1.4534,               0.008878,               0.008878,               0.008878
                     19,                0.62558,                 1.1213,                 1.0863,                0.83045,                  0.975,                0.96368,                0.77748,                0.77805,                 1.3078,                  1.306,               0.008812,               0.008812,               0.008812
                     20,                0.66631,                 1.0519,                 1.1049,                0.56701,                 0.8021,                0.72879,                0.59955,                0.71945,                 1.8693,                 1.2395,               0.008746,               0.008746,               0.008746
