                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.91063,                   3.31,                 1.3481,                0.00351,                      1,                0.19934,                0.16001,                0.36239,                 3.3904,                 1.0505,                 0.0883,                 0.0013,                 0.0013
                      1,                0.59592,                 3.0251,                 1.1288,                0.00361,                      1,                 0.2874,                 0.2553,                0.28956,                 3.2982,                0.92884,               0.075697,              0.0026973,              0.0026973
                      2,                0.57651,                 2.5724,                 1.0904,                0.00345,                      1,                0.35401,                0.32078,                0.35653,                 3.0301,                0.95467,               0.063092,              0.0040919,              0.0040919
                      3,                0.68932,                  2.243,                 1.1405,                0.38071,                0.46832,                0.38976,                0.34035,                0.47909,                 2.6095,                 1.0794,               0.050484,              0.0054837,              0.0054837
                      4,                0.65347,                  2.025,                 1.0901,                0.42918,                0.49823,                0.51264,                0.45646,                0.47028,                 2.5102,                 1.0281,               0.037873,              0.0068727,              0.0068727
                      5,                0.65747,                 1.8633,                 1.1238,                0.54629,                0.72232,                0.66892,                0.55955,                0.50374,                 2.3175,                 1.0565,               0.025259,              0.0082589,              0.0082589
                      6,                0.72272,                 1.6704,                  1.113,                0.80052,                0.77005,                0.89778,                0.74806,                0.56991,                 2.0452,                  1.106,               0.012642,              0.0096424,              0.0096424
                      7,                 0.7109,                 1.5343,                  1.116,                0.63385,                 0.6875,                0.71867,                0.58439,                  0.541,                  3.105,                 1.0863,              0.0099307,              0.0099307,              0.0099307
                      8,                 0.6909,                 1.4675,                 1.1039,                 0.7987,                 0.7518,                0.91746,                0.76134,                0.60601,                 2.1822,                 1.1475,              0.0099307,              0.0099307,              0.0099307
                      9,                0.73248,                 1.5177,                 1.1576,                0.29801,                    0.7,                0.47004,                0.35096,                0.70578,                 5.4136,                 1.2801,              0.0099208,              0.0099208,              0.0099208
